match_date,home_odds,away_odds,H_win_index,draw_odds,result,goal_difference,SOT_difference,total_goal,over_2_5_odds,under_2_5_odds,over_under_2_5_index
13/2/2022,1.7,5.5,3.235294,3.6,A,-2,0,2,2.2,1.66,0.754545
13/2/2022,2.7,2.62,0.97037,3.3,H,1,1,1,1.85,2.05,1.108108
13/2/2022,2.9,2.3,0.793103,3.5,D,0,-1,4,1.66,2.2,1.325301
13/2/2022,9.99,1.28,0.128128,5.25,A,-1,1,1,1.57,2.37,1.509554
12/2/2022,2.55,3,1.176471,3.1,D,0,-1,0,2.3,1.61,0.7
12/2/2022,3.5,2.05,0.585714,3.3,A,-2,-5,2,2.3,1.61,0.7
12/2/2022,1.6,5.5,3.4375,4,D,0,4,2,1.72,2.1,1.22093
12/2/2022,2.25,3,1.333333,3.5,H,3,10,3,1.66,2.2,1.325301
12/2/2022,9.99,1.16,0.116116,8,A,-4,-6,4,1.44,2.75,1.909722
10/2/2022,3.5,2.2,0.628571,3.2,A,-1,2,1,2.3,1.61,0.7
10/2/2022,1.25,9.99,7.992,6.5,H,2,10,2,1.33,3.4,2.556391
9/2/2022,3.5,2.15,0.614286,3.25,D,0,-4,2,2.1,1.72,0.819048
9/2/2022,1.6,5.5,3.4375,4,A,-1,-7,5,1.8,2,1.111111
9/2/2022,1.8,4.2,2.333333,3.8,D,0,-4,6,1.72,2.1,1.22093
9/2/2022,1.1,9.99,9.081818,9.5,H,2,5,2,1.36,3.2,2.352941
8/2/2022,2.5,2.87,1.148,3.25,H,2,6,4,1.91,1.99,1.041885
8/2/2022,5.5,1.61,0.292727,4,D,0,-2,2,1.85,2.05,1.108108
8/2/2022,1.55,5.75,3.709677,4.2,H,1,2,1,1.72,2.1,1.22093
5/2/2022,2.2,3.5,1.590909,3.25,D,0,-3,0,2.1,1.72,0.819048
23/1/2022,2.5,2.9,1.16,3.25,D,0,0,2,1.98,1.92,0.969697
23/1/2022,1.61,5,3.10559,4.2,H,2,4,2,1.94,1.96,1.010309
23/1/2022,1.36,9,6.617647,4.75,D,0,4,0,1.8,2,1.111111
23/1/2022,6,1.53,0.255,4.2,A,-2,-2,4,1.72,2.1,1.22093
22/1/2022,3.2,2.6,0.8125,2.8,A,-1,-1,3,2.5,1.53,0.612
22/1/2022,2.75,2.62,0.952727,3.25,A,-1,-2,1,2.05,1.85,0.902439
22/1/2022,2,3.75,1.875,3.5,A,-1,1,1,1.66,2.2,1.325301
22/1/2022,1.85,4,2.162162,3.8,H,1,2,1,1.66,2.2,1.325301
22/1/2022,9.99,1.25,0.125125,6.5,D,0,-2,2,1.44,2.75,1.909722
21/1/2022,2,3.75,1.875,3.5,A,-3,2,3,1.94,1.96,1.010309
19/1/2022,4.5,1.8,0.4,3.7,A,-2,3,4,1.93,1.97,1.020725
19/1/2022,3,2.3,0.766667,3.5,A,-1,-6,5,1.72,2.1,1.22093
18/1/2022,4.75,1.72,0.362105,3.75,D,0,-1,2,2.1,1.72,0.819048
16/1/2022,1.3,9.99,7.684615,5.5,H,3,12,3,1.66,2.2,1.325301
16/1/2022,1.61,5,3.10559,4.2,A,-1,0,5,1.61,2.3,1.428571
15/1/2022,2.25,3.4,1.511111,3.2,H,2,-5,4,2.5,1.53,0.612
15/1/2022,3.75,2,0.533333,3.5,H,1,-2,3,2.1,1.72,0.819048
15/1/2022,2,3.6,1.8,3.6,D,0,-4,2,1.8,2,1.111111
15/1/2022,2.87,2.4,0.836237,3.5,D,0,3,4,1.89,2.01,1.063492
15/1/2022,1.65,5,3.030303,4,H,1,5,1,1.85,2.05,1.108108
14/1/2022,2.05,3.8,1.853659,3.3,D,0,3,2,2.2,1.66,0.754545
12/1/2022,1.28,9.99,7.804688,5.5,H,2,2,2,1.66,2.2,1.325301
11/1/2022,2.05,3.6,1.756098,3.4,H,3,2,5,2.06,1.84,0.893204
3/1/2022,1.53,6,3.921569,4.33,A,-1,-4,1,1.98,1.92,0.969697
2/1/2022,2.75,2.62,0.952727,3.2,A,-1,1,5,2.2,1.66,0.754545
2/1/2022,3,2.4,0.8,3.3,H,1,-1,3,2,1.8,0.9
2/1/2022,3.1,2.25,0.725806,3.5,D,0,0,4,1.83,2.07,1.131148
2/1/2022,2.05,3.5,1.707317,3.5,H,2,5,4,1.72,2.1,1.22093
1/1/2022,3.1,2.3,0.741935,3.4,A,-1,1,5,1.87,2.03,1.085561
1/1/2022,5,1.61,0.322,4.2,A,-1,-5,1,1.72,2.1,1.22093
1/1/2022,5.75,1.5,0.26087,4.75,A,-1,0,3,1.57,2.37,1.509554
30/12/2021,1.36,9,6.617647,5,H,2,3,4,1.72,2.1,1.22093
29/12/2021,1.4,7.5,5.357143,4.5,D,0,-1,2,1.93,1.97,1.020725
29/12/2021,9.99,1.14,0.114114,8,A,-1,-1,1,1.5,2.62,1.746667
28/12/2021,1.65,5.5,3.333333,3.75,H,3,3,3,2.2,1.66,0.754545
28/12/2021,3.75,2,0.533333,3.5,D,0,-9,2,1.95,1.95,1
28/12/2021,3.4,2.1,0.617647,3.6,A,-3,-1,5,1.72,2.1,1.22093
28/12/2021,8,1.33,0.16625,5.5,H,1,-3,1,1.3,3.5,2.692308
27/12/2021,6.5,1.44,0.221538,4.75,D,0,4,2,1.61,2.3,1.428571
26/12/2021,1.9,4.2,2.210526,3.4,H,2,-1,2,2.2,1.66,0.754545
26/12/2021,5.25,1.65,0.314286,3.8,A,-2,-3,4,2.05,1.85,0.902439
26/12/2021,1.72,4.75,2.761628,3.8,H,3,6,3,1.95,1.95,1
26/12/2021,8,1.4,0.175,4.75,A,-5,-4,5,1.72,2.1,1.22093
26/12/2021,1.8,4.2,2.333333,3.9,A,-1,-1,5,1.72,2.1,1.22093
26/12/2021,1.18,9.99,8.466102,7.5,H,3,1,9,1.36,3.2,2.352941
19/12/2021,7,1.5,0.214286,4.2,D,0,0,0,2.1,1.72,0.819048
19/12/2021,5.25,1.53,0.291429,4.75,D,0,-1,4,1.66,2.2,1.325301
18/12/2021,3.9,1.83,0.469231,3.8,A,-3,-10,5,1.72,2.1,1.22093
16/12/2021,1.22,9.99,8.188525,6.5,D,0,7,2,1.72,2.1,1.22093
16/12/2021,1.12,9.99,8.919643,9,H,2,6,4,1.33,3.4,2.556391
15/12/2021,2.25,3.5,1.555556,3.1,A,-1,-3,1,2.5,1.53,0.612
15/12/2021,2.15,3.5,1.627907,3.3,D,0,2,4,2.1,1.72,0.819048
15/12/2021,2.1,3.3,1.571429,3.6,H,2,7,2,1.85,2.05,1.108108
14/12/2021,3.3,2.25,0.681818,3.3,A,-2,-3,2,2.1,1.72,0.819048
14/12/2021,1.14,9.99,8.763158,8.5,H,7,12,7,1.36,3.2,2.352941
12/12/2021,2.3,3.3,1.434783,3.2,H,2,0,4,2.3,1.61,0.7
12/12/2021,3.6,2,0.555556,3.6,D,0,-2,0,1.87,2.03,1.085561
12/12/2021,1.66,4.75,2.861446,4.1,H,4,2,4,1.57,2.37,1.509554
11/12/2021,1.61,5.5,3.416149,4,H,3,-1,3,1.8,2,1.111111
11/12/2021,7,1.45,0.207143,4.5,A,-1,0,1,1.72,2.1,1.22093
11/12/2021,1.25,9.99,7.992,5.75,H,1,1,5,1.57,2.37,1.509554
11/12/2021,1.14,9.99,8.763158,8,H,1,9,1,1.53,2.5,1.633987
11/12/2021,1.2,9.99,8.325,7,H,1,5,1,1.4,3,2.142857
10/12/2021,2.25,3.3,1.466667,3.3,H,1,3,3,2.01,1.89,0.940299
6/12/2021,3.4,2.1,0.617647,3.5,H,1,2,3,2.06,1.84,0.893204
5/12/2021,1.95,3.8,1.948718,3.6,D,0,3,4,1.96,1.94,0.989796
5/12/2021,1.5,6.5,4.333333,4.33,H,1,1,1,1.8,2,1.111111
5/12/2021,2.37,3,1.265823,3.4,H,1,-1,3,1.9,2,1.052632
5/12/2021,1.36,8.5,6.25,5,H,3,6,3,1.87,2.03,1.085561
4/12/2021,2.45,3,1.22449,3.2,D,0,0,2,2.2,1.66,0.754545
4/12/2021,4.75,1.75,0.368421,3.6,H,1,-2,5,2,1.8,0.9
4/12/2021,2.3,3.2,1.391304,3.3,H,1,3,1,1.96,1.94,0.989796
4/12/2021,8,1.4,0.175,4.75,A,-1,-4,1,1.66,2.2,1.325301
4/12/2021,9.99,1.2,0.12012,7,A,-2,-9,4,1.44,2.75,1.909722
2/12/2021,1.6,5.25,3.28125,4.2,H,2,4,2,1.92,1.98,1.03125
2/12/2021,1.95,3.75,1.923077,3.75,H,1,2,5,1.8,2,1.111111
1/12/2021,1.85,4.33,2.340541,3.5,D,0,1,0,2.2,1.66,0.754545
1/12/2021,1.95,3.8,1.948718,3.6,D,0,3,2,2.06,1.84,0.893204
1/12/2021,2.37,2.87,1.21097,3.5,D,0,1,4,1.72,2.1,1.22093
1/12/2021,9.99,1.3,0.13013,5.25,A,-1,2,3,1.72,2.1,1.22093
1/12/2021,9,1.33,0.147778,5.25,A,-1,-4,3,1.61,2.3,1.428571
1/12/2021,7.5,1.36,0.181333,5.25,A,-3,-5,5,1.57,2.37,1.509554
30/11/2021,2.4,3,1.25,3.3,H,1,2,1,1.94,1.96,1.010309
30/11/2021,1.95,3.9,2,3.5,D,0,-5,2,1.85,2.05,1.108108
28/11/2021,2.25,3.4,1.511111,3.2,H,1,-1,1,2.1,1.72,0.819048
28/11/2021,1.57,6,3.821656,4,D,0,4,2,1.8,2,1.111111
28/11/2021,1.61,5.5,3.416149,4,H,2,3,6,1.66,2.2,1.325301
28/11/2021,1.28,9.99,7.804688,5.75,H,1,6,3,1.5,2.62,1.746667
27/11/2021,3.5,2.15,0.614286,3.3,D,0,2,0,2.3,1.61,0.7
27/11/2021,2.2,3.3,1.5,3.4,A,-1,0,3,2.07,1.86,0.898551
27/11/2021,2.05,3.75,1.829268,3.4,D,0,0,0,1.98,1.95,0.984848
27/11/2021,1.44,7,4.861111,4.75,H,2,1,2,1.61,2.3,1.428571
27/11/2021,1.28,9,7.03125,6,H,4,3,4,1.4,3,2.142857
21/11/2021,1.7,4.5,2.647059,4.2,H,1,-3,3,1.72,2.1,1.22093
21/11/2021,1.14,9.99,8.763158,8,H,3,6,3,1.5,2.62,1.746667
20/11/2021,2.7,2.7,1,3.2,D,0,1,6,2.2,1.66,0.754545
20/11/2021,2.45,2.9,1.183673,3.3,H,2,3,2,2.1,1.72,0.819048
20/11/2021,3,2.4,0.8,3.25,H,1,2,1,2,1.8,0.9
20/11/2021,4.75,1.75,0.368421,3.75,A,-3,-4,3,2.03,1.87,0.921182
20/11/2021,3.6,2.05,0.569444,3.5,H,1,-1,3,2.03,1.87,0.921182
20/11/2021,2.62,2.7,1.030534,3.4,D,0,5,6,2,1.9,0.95
20/11/2021,6.5,1.45,0.223077,4.75,H,3,4,5,1.66,2.2,1.325301
20/11/2021,1.45,6.5,4.482759,4.75,H,4,6,4,1.5,2.62,1.746667
7/11/2021,3.1,2.37,0.764516,3.25,D,0,2,0,2,1.8,0.9
7/11/2021,2.8,2.45,0.875,3.5,D,0,2,2,1.66,2.2,1.325301
7/11/2021,1.36,8.5,6.25,4.75,H,1,5,1,1.57,2.37,1.509554
7/11/2021,4.75,1.7,0.357895,4,H,1,-2,5,1.5,2.62,1.746667
6/11/2021,2.45,3,1.22449,3.2,H,2,4,2,2.37,1.57,0.662447
6/11/2021,1.6,5.75,3.59375,4,A,-1,2,3,2,1.8,0.9
6/11/2021,1.57,6,3.821656,3.9,D,0,4,2,1.9,1.9,1
6/11/2021,1.25,9.99,7.992,6,D,0,2,2,1.72,2.1,1.22093
6/11/2021,4.75,1.7,0.357895,4,A,-2,-4,2,1.57,2.37,1.509554
5/11/2021,1.95,3.75,1.923077,3.6,H,1,0,1,1.72,2.1,1.22093
1/11/2021,2.2,3.5,1.590909,3.2,H,1,-1,3,2.3,1.61,0.7
31/10/2021,2.8,2.45,0.875,3.5,A,-3,-6,5,1.8,2,1.111111
31/10/2021,3.4,2.1,0.617647,3.5,A,-1,-3,3,1.72,2.1,1.22093
30/10/2021,2.6,2.75,1.057692,3.3,H,2,1,4,2.2,1.66,0.754545
30/10/2021,3.2,2.3,0.71875,3.3,A,-1,3,1,1.9,1.9,1
30/10/2021,2.4,2.87,1.195833,3.5,A,-2,3,2,1.8,2,1.111111
30/10/2021,8.5,1.36,0.16,5,A,-3,-5,3,1.72,2.1,1.22093
30/10/2021,2.87,2.37,0.825784,3.6,A,-3,-4,3,1.72,2.1,1.22093
30/10/2021,1.22,9.99,8.188525,6.5,D,0,-3,4,1.53,2.5,1.633987
30/10/2021,1.14,9.99,8.763158,8,A,-2,0,2,1.44,2.75,1.909722
24/10/2021,2.62,2.7,1.030534,3.3,A,-1,-1,3,1.9,1.9,1
24/10/2021,2.3,3,1.304348,3.5,H,1,0,1,1.72,2.1,1.22093
24/10/2021,3.1,2.2,0.709677,3.6,A,-5,-4,5,1.53,2.5,1.633987
23/10/2021,1.65,5.5,3.333333,3.8,A,-3,-4,7,2,1.8,0.9
23/10/2021,1.9,4,2.105263,3.6,D,0,1,2,1.9,1.9,1
23/10/2021,2.4,2.87,1.195833,3.4,D,0,0,2,1.9,1.9,1
23/10/2021,1.95,3.9,2,3.5,D,0,-1,4,1.9,1.9,1
23/10/2021,8,1.4,0.175,4.75,A,-3,-9,5,1.8,2,1.111111
23/10/2021,1.18,9.99,8.466102,7,H,7,12,7,1.66,2.2,1.325301
22/10/2021,1.83,4.2,2.295082,3.75,H,2,5,4,1.72,2.1,1.22093
18/10/2021,1.6,6,3.75,3.8,D,0,0,4,1.97,1.93,0.979695
17/10/2021,2.5,2.8,1.12,3.4,A,-1,-2,1,1.9,1.9,1
